item,transitivity,verb,sem_score,consistency,baseline
put-cup-on-coaster-TR,1.0,"['use', 'sit', 'sit', 'sit', 'sit', 'use', 'set', 'set', 'set', 'set', 'set', 'set', 'set', 'set', 'put', 'put', 'put', 'put', 'put', 'put', 'put', 'place', 'place', 'place', 'place', 'place', 'place', 'place', 'place', 'place', 'hold']",0.5780435492337455,1.0,1
racecar-into-box-IN,0.1,"['zip', 'slide', 'hold', 'run', 'run', 'run', 'run', 'run', 'run', 'ride', 'stop', 'ride', 'stop', 'launch', 'land', 'hit', 'go', 'go', 'get', 'drive', 'drive', 'drive', 'drive', 'drive', 'drive', 'drive', 'drive', 'drive', 'drive', 'drive', 'drive', 'drive', 'crash']",0.5812664433982335,0.8,0
remove-cork-TR,1.0,"['unscrew', 'uncork', 'uncork', 'uncork', 'uncork', 'uncork', 'uncork', 'uncork', 'uncork', 'uncork', 'uncork', 'uncork', 'take', 'take', 'remove', 'remove', 'pull', 'pull', 'open', 'open', 'open', 'open', 'open', 'open', 'open', 'open', 'open']",0.5796114768824931,1.0,1
reorient-pole-TR,1.0,"['turn', 'turn', 'turn', 'set', 'shift', 'set', 'set', 'set', 'rotate', 'rotate', 'put', 'put', 'put', 'put', 'place', 'place', 'move', 'move', 'lie', 'lay', 'lay', 'lay', 'lay', 'lay', 'lay', 'hold', 'flip', 'change']",0.6657442107126234,1.0,1
roll-out-TR,1.0,"['roll', 'roll', 'roll', 'roll', 'roll', 'roll', 'roll', 'roll', 'roll', 'roll', 'roll', 'roll', 'roll', 'roll', 'roll', 'roll', 'roll', 'roll', 'roll', 'roll', 'roll', 'roll', 'roll', 'roll', 'roll', 'roll', 'roll']",1.1102230246251565e-16,1.0,1
shake-shaker-TR,1.0,"['shake', 'shake', 'shake', 'shake', 'shake', 'shake', 'shake', 'shake', 'shake', 'shake', 'shake', 'shake', 'shake', 'shake', 'shake', 'shake', 'shake', 'shake', 'shake', 'shake', 'shake', 'shake', 'shake', 'shake', 'shake', 'shake', 'shake', 'mix', 'mix', 'mix', 'shake']",0.14294630837552127,1.0,1
shaving-cream-spray-IN,0.36666666666666664,"['start', 'squirt', 'squirt', 'squirt', 'squirt', 'squirt', 'squirt', 'squirt', 'hit', 'spray', 'spray', 'spray', 'spray', 'spray', 'spray', 'spray', 'spray', 'spray', 'spray', 'spray', 'spray', 'spray', 'spray', 'spray', 'spill', 'spew', 'shoot', 'shoot', 'sit', 'release', 'fire', 'explode']",0.5147402303057254,0.2666666666666667,0
spin-bread-TR,0.9666666666666667,"['using', 'spin', 'turn', 'spin', 'spin', 'spin', 'spin', 'spin', 'spin', 'spin', 'spin', 'spin', 'spin', 'spin', 'spin', 'spin', 'spin', 'spin', 'spin', 'spin', 'spin', 'spin', 'spin', 'spin', 'spin', 'spin', 'spin', 'spin', 'spin', 'spend', 'roll']",0.18960551803081754,0.9333333333333333,1
spray-shaving-cream-TR,1.0,"['squirt', 'squirt', 'squirt', 'douse', 'spray', 'spray', 'spray', 'spray', 'spray', 'spray', 'spray', 'spray', 'spray', 'spray', 'spray', 'spray', 'spray', 'spray', 'spray', 'spray', 'spray', 'spray', 'spray', 'spray', 'spray', 'spray', 'spray', 'spray', 'shoot', 'shoot', 'shave']",0.23361244226575606,1.0,1
stick-break-IN,0.03333333333333333,"['stick', 'break', 'split', 'fall', 'fall', 'fall', 'fall', 'fall', 'collapse', 'break', 'break', 'break', 'break', 'break', 'break', 'break', 'break', 'break', 'break', 'break', 'break', 'break', 'break', 'break', 'break', 'break', 'break', 'break', 'break', 'break', 'break', 'fall', 'break', 'fall']",0.32184302558455463,0.9333333333333333,0
